"Step","no-actors 1, 300 (2024-01-03 20:59) - Best Reward","no-actors 1, 300 (2024-01-03 20:59) - Best Reward__MIN","no-actors 1, 300 (2024-01-03 20:59) - Best Reward__MAX","no-actors 1, 200 (2024-01-03 18:53) - Best Reward","no-actors 1, 200 (2024-01-03 18:53) - Best Reward__MIN","no-actors 1, 200 (2024-01-03 18:53) - Best Reward__MAX","no-actors 1, 100 (2024-01-03 16:49) - Best Reward","no-actors 1, 100 (2024-01-03 16:49) - Best Reward__MIN","no-actors 1, 100 (2024-01-03 16:49) - Best Reward__MAX"
"44","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"45","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"46","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"47","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"48","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"49","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"50","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"51","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"52","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"53","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"54","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"55","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"56","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"57","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"58","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"59","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"60","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"61","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"62","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"63","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"64","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"65","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"66","15334.779537916187","15334.779537916187","15334.779537916187","12607.819191217422","12607.819191217422","12607.819191217422","7351.938933610917","7351.938933610917","7351.938933610917"
"67","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7351.938933610917","7351.938933610917","7351.938933610917"
"68","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7363.34634542465","7363.34634542465","7363.34634542465"
"69","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7363.34634542465","7363.34634542465","7363.34634542465"
"70","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7363.34634542465","7363.34634542465","7363.34634542465"
"71","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"72","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"73","15334.779537916187","15334.779537916187","15334.779537916187","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"74","15453.115535020826","15453.115535020826","15453.115535020826","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"75","15453.115535020826","15453.115535020826","15453.115535020826","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"76","15453.115535020826","15453.115535020826","15453.115535020826","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"77","15453.115535020826","15453.115535020826","15453.115535020826","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"78","15453.115535020826","15453.115535020826","15453.115535020826","12722.456421613693","12722.456421613693","12722.456421613693","7483.013801288606","7483.013801288606","7483.013801288606"
"79","15453.115535020826","15453.115535020826","15453.115535020826","13281.912963485718","13281.912963485718","13281.912963485718","7649.913973808289","7649.913973808289","7649.913973808289"
"80","15453.115535020826","15453.115535020826","15453.115535020826","13281.912963485718","13281.912963485718","13281.912963485718","7649.913973808289","7649.913973808289","7649.913973808289"
"81","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","7649.913973808289","7649.913973808289","7649.913973808289"
"82","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","7649.913973808289","7649.913973808289","7649.913973808289"
"83","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8042.8547298431395","8042.8547298431395","8042.8547298431395"
"84","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8042.8547298431395","8042.8547298431395","8042.8547298431395"
"85","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8313.715307044982","8313.715307044982","8313.715307044982"
"86","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8313.715307044982","8313.715307044982","8313.715307044982"
"87","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8313.715307044982","8313.715307044982","8313.715307044982"
"88","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8313.715307044982","8313.715307044982","8313.715307044982"
"89","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","8313.715307044982","8313.715307044982","8313.715307044982"
"90","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","9481.854868316654","9481.854868316654","9481.854868316654"
"91","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","9481.854868316654","9481.854868316654","9481.854868316654"
"92","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","9481.854868316654","9481.854868316654","9481.854868316654"
"93","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","9481.854868316654","9481.854868316654","9481.854868316654"
"94","15517.851384735108","15517.851384735108","15517.851384735108","13281.912963485718","13281.912963485718","13281.912963485718","9481.854868316654","9481.854868316654","9481.854868316654"
"95","15517.851384735108","15517.851384735108","15517.851384735108","13739.34434928894","13739.34434928894","13739.34434928894","9481.854868316654","9481.854868316654","9481.854868316654"
"96","15676.301042652129","15676.301042652129","15676.301042652129","13739.34434928894","13739.34434928894","13739.34434928894","9481.854868316654","9481.854868316654","9481.854868316654"
"97","15676.301042652129","15676.301042652129","15676.301042652129","14087.209319734577","14087.209319734577","14087.209319734577","9481.854868316654","9481.854868316654","9481.854868316654"
"98","15676.301042652129","15676.301042652129","15676.301042652129","14087.209319734577","14087.209319734577","14087.209319734577","9481.854868316654","9481.854868316654","9481.854868316654"
"99","15676.301042652129","15676.301042652129","15676.301042652129","14087.209319734577","14087.209319734577","14087.209319734577","9481.854868316654","9481.854868316654","9481.854868316654"
"100","15676.301042652129","15676.301042652129","15676.301042652129","14087.209319734577","14087.209319734577","14087.209319734577","9481.854868316654","9481.854868316654","9481.854868316654"
"101","15676.301042652129","15676.301042652129","15676.301042652129","14087.209319734577","14087.209319734577","14087.209319734577","9481.854868316654","9481.854868316654","9481.854868316654"
"102","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"103","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"104","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"105","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"106","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"107","15676.301042652129","15676.301042652129","15676.301042652129","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"108","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"109","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"110","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"111","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"112","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"113","15839.190188312532","15839.190188312532","15839.190188312532","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"114","17751.785554218295","17751.785554218295","17751.785554218295","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"115","17751.785554218295","17751.785554218295","17751.785554218295","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"116","17751.785554218295","17751.785554218295","17751.785554218295","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"117","17751.785554218295","17751.785554218295","17751.785554218295","14140.890124845506","14140.890124845506","14140.890124845506","9481.854868316654","9481.854868316654","9481.854868316654"
"118","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"119","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"120","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"121","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"122","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"123","17751.785554218295","17751.785554218295","17751.785554218295","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"124","18000.891906404497","18000.891906404497","18000.891906404497","14319.322738218309","14319.322738218309","14319.322738218309","9481.854868316654","9481.854868316654","9481.854868316654"
"125","18000.891906404497","18000.891906404497","18000.891906404497","14384.17076411248","14384.17076411248","14384.17076411248","9481.854868316654","9481.854868316654","9481.854868316654"
"126","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"127","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"128","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"129","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"130","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"131","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"132","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"133","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"134","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"135","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"136","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"137","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"138","18000.891906404497","18000.891906404497","18000.891906404497","15605.724877834322","15605.724877834322","15605.724877834322","9481.854868316654","9481.854868316654","9481.854868316654"
"139","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"140","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"141","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"142","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"143","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"144","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"145","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"146","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"147","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"148","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"149","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"150","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"151","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"152","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"153","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"154","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"155","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"156","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"157","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"158","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"159","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"160","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"161","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"162","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"163","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"164","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"165","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"166","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"167","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"168","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"169","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"170","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"171","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"172","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"173","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"174","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
"175","18000.891906404497","18000.891906404497","18000.891906404497","15827.606329298014","15827.606329298014","15827.606329298014","9740.888201236725","9740.888201236725","9740.888201236725"
