"Step","no-actors 1, 400 (2024-01-18 05:11) - Best Reward","no-actors 1, 400 (2024-01-18 05:11) - Best Reward__MIN","no-actors 1, 400 (2024-01-18 05:11) - Best Reward__MAX","no-actors 1, 400 (2024-01-18 05:11) - RL_1_SAC Mean Price","no-actors 1, 400 (2024-01-18 05:11) - RL_1_SAC Mean Price__MIN","no-actors 1, 400 (2024-01-18 05:11) - RL_1_SAC Mean Price__MAX","no-actors 1, 400 (2024-01-09 10:27) - Best Reward","no-actors 1, 400 (2024-01-09 10:27) - Best Reward__MIN","no-actors 1, 400 (2024-01-09 10:27) - Best Reward__MAX","no-actors 1, 400 (2024-01-09 10:27) - RL_1_SAC Mean Price","no-actors 1, 400 (2024-01-09 10:27) - RL_1_SAC Mean Price__MIN","no-actors 1, 400 (2024-01-09 10:27) - RL_1_SAC Mean Price__MAX"
"0","7068.396580505371","7068.396580505371","7068.396580505371","4.663116943836212","4.663116943836212","4.663116943836212","6875.367536735534","6875.367536735534","6875.367536735534","4.662901341915131","4.662901341915131","4.662901341915131"
"1","8586.447934818269","8586.447934818269","8586.447934818269","3.3089244842529295","3.3089244842529295","3.3089244842529295","8599.296186971664","8599.296186971664","8599.296186971664","3.309256541728973","3.309256541728973","3.309256541728973"
"2","8586.447934818269","8586.447934818269","8586.447934818269","4.066388952732086","4.066388952732086","4.066388952732086","8599.296186971664","8599.296186971664","8599.296186971664","4.066825270652771","4.066825270652771","4.066825270652771"
"3","8586.447934818269","8586.447934818269","8586.447934818269","5.1821124196052555","5.1821124196052555","5.1821124196052555","8599.296186971664","8599.296186971664","8599.296186971664","5.182393860816956","5.182393860816956","5.182393860816956"
"4","8586.447934818269","8586.447934818269","8586.447934818269","4.5673441886901855","4.5673441886901855","4.5673441886901855","8599.296186971664","8599.296186971664","8599.296186971664","4.567536163330078","4.567536163330078","4.567536163330078"
"5","11045.575088691712","11045.575088691712","11045.575088691712","4.006535959243775","4.006535959243775","4.006535959243775","10675.551068258283","10675.551068258283","10675.551068258283","4.006663060188293","4.006663060188293","4.006663060188293"
"6","11045.575088691712","11045.575088691712","11045.575088691712","4.652446663379669","4.652446663379669","4.652446663379669","10675.551068258283","10675.551068258283","10675.551068258283","4.653435826301575","4.653435826301575","4.653435826301575"
"7","11045.575088691712","11045.575088691712","11045.575088691712","3.604156506061554","3.604156506061554","3.604156506061554","10675.551068258283","10675.551068258283","10675.551068258283","3.6042789816856384","3.6042789816856384","3.6042789816856384"
"8","11045.575088691712","11045.575088691712","11045.575088691712","5.6222039103508","5.6222039103508","5.6222039103508","10675.551068258283","10675.551068258283","10675.551068258283","5.621865308284759","5.621865308284759","5.621865308284759"
"9","11045.575088691712","11045.575088691712","11045.575088691712","4.029463326930999","4.029463326930999","4.029463326930999","10675.551068258283","10675.551068258283","10675.551068258283","4.02949503660202","4.02949503660202","4.02949503660202"
