"Step","no-actors 1, 300 (2024-01-18 01:15) - Best Reward","no-actors 1, 300 (2024-01-18 01:15) - Best Reward__MIN","no-actors 1, 300 (2024-01-18 01:15) - Best Reward__MAX","no-actors 1, 300 (2024-01-18 01:15) - RL_1_SAC Mean Price","no-actors 1, 300 (2024-01-18 01:15) - RL_1_SAC Mean Price__MIN","no-actors 1, 300 (2024-01-18 01:15) - RL_1_SAC Mean Price__MAX","no-actors 1, 300 (2024-01-09 01:06) - Best Reward","no-actors 1, 300 (2024-01-09 01:06) - Best Reward__MIN","no-actors 1, 300 (2024-01-09 01:06) - Best Reward__MAX","no-actors 1, 300 (2024-01-09 01:06) - RL_1_SAC Mean Price","no-actors 1, 300 (2024-01-09 01:06) - RL_1_SAC Mean Price__MIN","no-actors 1, 300 (2024-01-09 01:06) - RL_1_SAC Mean Price__MAX"
"0","7363.879402971268","7363.879402971268","7363.879402971268","4.665979874134064","4.665979874134064","4.665979874134064","7160.017796754838","7160.017796754838","7160.017796754838","4.666520416736603","4.666520416736603","4.666520416736603"
"1","8392.654753637315","8392.654753637315","8392.654753637315","3.308573532104492","3.308573532104492","3.308573532104492","8171.990267562864","8171.990267562864","8171.990267562864","3.3091001868247987","3.3091001868247987","3.3091001868247987"
"2","8392.654753637315","8392.654753637315","8392.654753637315","4.068376851081848","4.068376851081848","4.068376851081848","8171.990267562864","8171.990267562864","8171.990267562864","4.068444275856018","4.068444275856018","4.068444275856018"
"3","8392.654753637315","8392.654753637315","8392.654753637315","5.187200677394867","5.187200677394867","5.187200677394867","8171.990267562864","8171.990267562864","8171.990267562864","5.1874703645706175","5.1874703645706175","5.1874703645706175"
"4","8392.654753637315","8392.654753637315","8392.654753637315","4.5699122786521915","4.5699122786521915","4.5699122786521915","8171.990267562864","8171.990267562864","8171.990267562864","4.570290994644165","4.570290994644165","4.570290994644165"
"5","10652.958830165862","10652.958830165862","10652.958830165862","4.006552219390869","4.006552219390869","4.006552219390869","10617.392507696148","10617.392507696148","10617.392507696148","4.006586909294128","4.006586909294128","4.006586909294128"
"6","10652.958830165862","10652.958830165862","10652.958830165862","4.657554745674133","4.657554745674133","4.657554745674133","10617.392507696148","10617.392507696148","10617.392507696148","4.657759118080139","4.657759118080139","4.657759118080139"
"7","10652.958830165862","10652.958830165862","10652.958830165862","3.6051011443138123","3.6051011443138123","3.6051011443138123","10617.392507696148","10617.392507696148","10617.392507696148","3.605334222316742","3.605334222316742","3.605334222316742"
"8","10652.958830165862","10652.958830165862","10652.958830165862","5.629784095287323","5.629784095287323","5.629784095287323","10617.392507696148","10617.392507696148","10617.392507696148","5.629884839057922","5.629884839057922","5.629884839057922"
"9","10652.958830165862","10652.958830165862","10652.958830165862","4.026841413974762","4.026841413974762","4.026841413974762","10617.392507696148","10617.392507696148","10617.392507696148","4.027096676826477","4.027096676826477","4.027096676826477"
"10","10652.958830165862","10652.958830165862","10652.958830165862","5.163419163227081","5.163419163227081","5.163419163227081","10617.392507696148","10617.392507696148","10617.392507696148","5.16386227607727","5.16386227607727","5.16386227607727"
"11","10652.958830165862","10652.958830165862","10652.958830165862","9.033642649650574","9.033642649650574","9.033642649650574","10617.392507696148","10617.392507696148","10617.392507696148","8.631410551071166","8.631410551071166","8.631410551071166"
"12","10652.958830165862","10652.958830165862","10652.958830165862","9.805179929733276","9.805179929733276","9.805179929733276","10617.392507696148","10617.392507696148","10617.392507696148","9.84525957107544","9.84525957107544","9.84525957107544"
"13","10652.958830165862","10652.958830165862","10652.958830165862","9.547822976112366","9.547822976112366","9.547822976112366","10617.392507696148","10617.392507696148","10617.392507696148","9.846353578567506","9.846353578567506","9.846353578567506"
"14","10652.958830165862","10652.958830165862","10652.958830165862","6.976266300678253","6.976266300678253","6.976266300678253","10617.392507696148","10617.392507696148","10617.392507696148","8.098339390754699","8.098339390754699","8.098339390754699"
"15","10652.958830165862","10652.958830165862","10652.958830165862","2.9453036069869993","2.9453036069869993","2.9453036069869993","10617.392507696148","10617.392507696148","10617.392507696148","3.0275742173194886","3.0275742173194886","3.0275742173194886"
"16","12789.509257268906","12789.509257268906","12789.509257268906","3.826029193401337","3.826029193401337","3.826029193401337","10719.992789697644","10719.992789697644","10719.992789697644","3.9248907446861265","3.9248907446861265","3.9248907446861265"
"17","14200.344790601732","14200.344790601732","14200.344790601732","3.3566756010055543","3.3566756010055543","3.3566756010055543","12926.458237600329","12926.458237600329","12926.458237600329","2.827230656147003","2.827230656147003","2.827230656147003"
"18","14200.344790601732","14200.344790601732","14200.344790601732","3.0846057891845704","3.0846057891845704","3.0846057891845704","12926.458237600329","12926.458237600329","12926.458237600329","2.2719388127326967","2.2719388127326967","2.2719388127326967"
"19","14200.344790601732","14200.344790601732","14200.344790601732","3.574773669242859","3.574773669242859","3.574773669242859","12926.458237600329","12926.458237600329","12926.458237600329","0.9592191576957703","0.9592191576957703","0.9592191576957703"
"20","14200.344790601732","14200.344790601732","14200.344790601732","3.4808623790740967","3.4808623790740967","3.4808623790740967","12926.458237600329","12926.458237600329","12926.458237600329","0.06926107406616211","0.06926107406616211","0.06926107406616211"
"21","14200.344790601732","14200.344790601732","14200.344790601732","3.5652009725570677","3.5652009725570677","3.5652009725570677","12926.458237600329","12926.458237600329","12926.458237600329","1.2704084277153016","1.2704084277153016","1.2704084277153016"
"22","14200.344790601732","14200.344790601732","14200.344790601732","3.6642818212509156","3.6642818212509156","3.6642818212509156","14972.406809616088","14972.406809616088","14972.406809616088","3.0709487080574034","3.0709487080574034","3.0709487080574034"
"23","14200.344790601732","14200.344790601732","14200.344790601732","3.564624071121216","3.564624071121216","3.564624071121216","14972.406809616088","14972.406809616088","14972.406809616088","3.424522817134857","3.424522817134857","3.424522817134857"
"24","14200.344790601732","14200.344790601732","14200.344790601732","3.6445064544677734","3.6445064544677734","3.6445064544677734","14972.406809616088","14972.406809616088","14972.406809616088","3.252844524383545","3.252844524383545","3.252844524383545"
